"date","location","gender","sociodemographics","indicators","statistics","scale","value"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Percentage of persons","units","20.8"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Percentage of persons","units","22.1"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Percentage of persons","units","25.7"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Percentage of persons","units","22.7"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Percentage of persons","units","22.5"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Percentage of persons","units","24.1"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Number of persons","thousands","1580"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Number of persons","thousands","1686"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Number of persons","thousands","2116"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Number of persons","thousands","1907"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Number of persons","thousands","2183"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 3","Number of persons","thousands","2290"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Percentage of persons","units","61.4"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Percentage of persons","units","58.0"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Percentage of persons","units","55.4"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Percentage of persons","units","61.5"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Percentage of persons","units","62.1"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Percentage of persons","units","58.4"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Number of persons","thousands","4664"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Number of persons","thousands","4434"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Number of persons","thousands","4574"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Number of persons","thousands","5174"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Number of persons","thousands","6015"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the police rating of 4 or 5","Number of persons","thousands","5540"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","22.4"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","26.1"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","25.1"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.3"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","22.6"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","24.7"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1694"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1992"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","2059"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1957"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","2175"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","2333"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Percentage of persons","units","28.8"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Percentage of persons","units","29.8"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Percentage of persons","units","33.7"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Percentage of persons","units","28.8"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Percentage of persons","units","26.5"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Percentage of persons","units","28.4"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Number of persons","thousands","2175"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Number of persons","thousands","2272"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Number of persons","thousands","2758"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Number of persons","thousands","2420"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Number of persons","thousands","2553"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 3","Number of persons","thousands","2681"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","48.8"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","44.0"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","41.2"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","47.8"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","50.9"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","46.8"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","3694"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","3356"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","3377"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","4013"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","4910"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","4420"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Percentage of persons","units","20.5"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Percentage of persons","units","26.2"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Percentage of persons","units","26.0"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Percentage of persons","units","24.0"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Percentage of persons","units","21.8"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Percentage of persons","units","24.5"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Number of persons","thousands","1553"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Number of persons","thousands","2003"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Number of persons","thousands","2129"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Number of persons","thousands","2012"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Number of persons","thousands","2105"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 1 or 2","Number of persons","thousands","2313"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Percentage of persons","units","31.8"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Percentage of persons","units","31.2"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Percentage of persons","units","30.9"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Percentage of persons","units","32.7"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Percentage of persons","units","32.6"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Percentage of persons","units","32.0"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Number of persons","thousands","2403"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Number of persons","thousands","2385"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Number of persons","thousands","2529"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Number of persons","thousands","2737"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Number of persons","thousands","3142"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 3","Number of persons","thousands","3027"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Percentage of persons","units","47.7"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Percentage of persons","units","42.5"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Percentage of persons","units","43.0"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Percentage of persons","units","43.3"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Percentage of persons","units","45.6"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Percentage of persons","units","43.5"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Number of persons","thousands","3604"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Number of persons","thousands","3247"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Number of persons","thousands","3519"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Number of persons","thousands","3631"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Number of persons","thousands","4393"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the school system rating of 4 or 5","Number of persons","thousands","4111"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","31.5"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","37.1"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","36.3"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","39.5"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","35.4"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","39.1"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","2381"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","2827"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","2971"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","3312"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","3402"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","3682"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","34.3"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","29.9"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","31.5"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","30.3"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","30.2"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","29.1"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","2597"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","2278"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","2573"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","2535"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","2902"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","2734"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","34.2"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","33.0"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","32.2"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","30.2"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","34.5"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","31.8"
"2022-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","2591"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","2512"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","2631"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","2532"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","3318"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","2991"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","40.0"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","37.9"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","29.7"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","28.6"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","29.9"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","3053"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","3102"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","2497"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","2753"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","2823"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Percentage of persons","units","30.5"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Percentage of persons","units","32.7"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Percentage of persons","units","35.1"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Percentage of persons","units","32.6"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Percentage of persons","units","34.8"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Number of persons","thousands","2330"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Number of persons","thousands","2672"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Number of persons","thousands","2955"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Number of persons","thousands","3137"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 3","Number of persons","thousands","3285"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","29.5"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","29.4"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","35.2"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","38.7"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","35.2"
"2022-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","2254"
"2023-04","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","2401"
"2023-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","2965"
"2024-07","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","3726"
"2024-10","Canada (excluding territories)","Total, all persons","Other activity","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","3324"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Percentage of persons","units","13.4"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Percentage of persons","units","15.8"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Percentage of persons","units","16.3"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Percentage of persons","units","13.1"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Percentage of persons","units","14.5"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Percentage of persons","units","14.6"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Number of persons","thousands","3605"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Number of persons","thousands","4300"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Number of persons","thousands","4544"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Number of persons","thousands","3756"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Number of persons","thousands","4296"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 1 or 2","Number of persons","thousands","4345"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Percentage of persons","units","22.2"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Percentage of persons","units","22.7"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Percentage of persons","units","23.5"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Percentage of persons","units","22.4"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Percentage of persons","units","23.0"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Percentage of persons","units","22.5"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Number of persons","thousands","5992"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Number of persons","thousands","6171"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Number of persons","thousands","6551"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Number of persons","thousands","6421"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Number of persons","thousands","6824"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 3","Number of persons","thousands","6688"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Percentage of persons","units","64.4"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Percentage of persons","units","61.5"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Percentage of persons","units","60.3"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Percentage of persons","units","64.5"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Percentage of persons","units","62.5"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Percentage of persons","units","62.9"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Number of persons","thousands","17381"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Number of persons","thousands","16705"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Number of persons","thousands","16831"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Number of persons","thousands","18450"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Number of persons","thousands","18540"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the police rating of 4 or 5","Number of persons","thousands","18691"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","20.1"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.3"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","24.3"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","21.4"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","22.3"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.2"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","5402"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","6297"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","6732"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","6110"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","6570"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","6845"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Percentage of persons","units","30.4"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Percentage of persons","units","29.1"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Percentage of persons","units","32.9"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Percentage of persons","units","29.3"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Percentage of persons","units","27.7"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Percentage of persons","units","28.2"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Number of persons","thousands","8165"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Number of persons","thousands","7895"
"2023-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Number of persons","thousands","9110"
"2023-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Number of persons","thousands","8342"
"2024-07","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Number of persons","thousands","8175"
"2024-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 3","Number of persons","thousands","8319"
"2022-04","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","49.5"
"2022-10","Canada (excluding territories)","Total, all persons","Urban areas","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","47.6"
